id_project,Sector_1,Region_1,Operation_Type,Stage,Approval
BA-G9002,INE,CAR,Investment Grants,Operation in Disbursing,07/29/15
BA-L9025,INE,CAR,Loan Operation,Operation in Disbursing,02/03/2014
BA-L9032,SCL,CAR,Loan Operation,Operation in Disbursing,11/28/12
BA-L9033,CSD,CAR,Loan Operation,Operation in Disbursing,11/02/2011
BA-L9034,IFD,CAR,Loan Operation,Fully Disbursed,01/11/2011
BA-L9035,INE,CAR,Loan Operation,Operation in Disbursing,07/07/2010
BA-L9043,INE,CAR,Loan Operation,Operation in Disbursing,07/23/14
BA-L9046,IFD,CAR,Loan Operation,Fully Disbursed,11/30/11
BA-L9048,CSD,CAR,Loan Operation,Operation Closed,02/01/2012
BA-L9050,IFD,CAR,Loan Operation,Operation in Disbursing,05/18/20
BA-L9059,IFD,CAR,Loan Operation,Operation in Disbursing,07/29/20
BA-L9092,INE,CAR,Loan Operation,Operation in Disbursing,10/30/13
BA-L9094,CSD,CAR,Loan Operation,Operation in Disbursing,03/27/13
BA-L9096,SCL,CAR,Loan Operation,Operation Closed,04/10/2013
BA-X9003,INE,CAR,Investment Grants,Operation in Disbursing,11/26/12
BH-L9027,INE,CAR,Loan Operation,Operation Closed,07/16/14
BH-L9028,INE,CAR,Loan Operation,Operation in Disbursing,05/21/14
BH-L9033,IFD,CAR,Loan Operation,Operation in Disbursing,11/13/13
BH-L9035,IFD,CAR,Loan Operation,Operation in Disbursing,05/14/14
BH-L9037,SCL,CAR,Loan Operation,Operation in Disbursing,09/12/2013
BH-L9043,CSD,CAR,Loan Operation,Operation in Disbursing,07/23/14
BH-L9045,IFD,CAR,Loan Operation,Operation in Disbursing,04/23/15
BH-L9046,IFD,CAR,Loan Operation,Operation in Disbursing,05/14/15
BH-L9048,INE,CAR,Loan Operation,Operation in Disbursing,05/07/2015
BH-L9049,IFD,CAR,Loan Operation,Operation in Disbursing,06/25/15
BH-L9049B,INE,CAR,Loan Operation,Operation in Disbursing,09/09/2016
