Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR
Q1 2020,2020,BA-G9002,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,BA-L9025,A,3.Substantial,Satisfactory,CAR,INE
Q1 2020,2020,BA-L9032,C,1.Low,{Not Set},CAR,SCL
Q1 2020,2020,BA-L9033,B,3.Substantial,{Not Set},CAR,CSD
Q1 2020,2020,BA-L9034,B13,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,BA-L9035,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,BA-L9043,B,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,BA-L9046,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,BA-L9048,B13,2.Moderate,{Not Set},CAR,CSD
Q1 2020,2020,BA-L9092,B,2.Moderate,Satisfactory,CAR,INE
Q1 2020,2020,BA-L9094,B,2.Moderate,{Not Set},CAR,CSD
Q1 2020,2020,BA-L9096,C,1.Low,{Not Set},CAR,SCL
Q1 2020,2020,BA-X9003,A,3.Substantial,Satisfactory,CAR,INE
Q1 2020,2020,BH-L9027,B13,2.Moderate,{Not Set},CAR,INE
Q1 2020,2020,BH-L9033,C,2.Moderate,{Not Set},CAR,IFD
Q1 2020,2020,BH-L9035,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,BH-L9037,C,2.Moderate,{Not Set},CAR,SCL
Q1 2020,2020,BH-L9043,B,2.Moderate,{Not Set},CAR,CSD
Q1 2020,2020,BH-L9045,C,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,BH-L9046,B13,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,BH-L9048,B,3.Substantial,{Not Set},CAR,INE
Q1 2020,2020,BH-L9049,B13,1.Low,{Not Set},CAR,IFD
Q1 2020,2020,BH-L9049B,B,3.Substantial,Satisfactory,CAR,INE
Q1 2020,2020,BH-L9096,C,1.Low,{Not Set},CAR,INT
Q1 2020,2020,BL-G9002,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,BL-G9003,C,1.Low,{Not Set},AAN,SCL
Q1 2020,2020,BL-G9004,C,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,BL-L9020,B,2.Moderate,{Not Set},AAN,CSD
Q1 2020,2020,BL-L9028,B,3.Substantial,Satisfactory,AAN,CSD
Q1 2020,2020,BL-L9029,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,BL-L9029B,B,2.Moderate,Partially Satisfactory,AAN,INE
Q1 2020,2020,BL-L9030,C,2.Moderate,{Not Set},AAN,SCL
Q1 2020,2020,BL-L9039,C,1.Low,{Not Set},AAN,IFD
Q1 2020,2020,BL-L9099,B,3.Substantial,{Not Set},AAN,INE
Q1 2020,2020,BO-G9004,A,4.High,Satisfactory,LATAM,CSD
Q1 2020,2020,BO-L9063,C,1.Low,{Not Set},LATAM,IFD
Q1 2020,2020,BO-L9067,B,3.Substantial,Partially Satisfactory,LATAM,SCL
Q1 2020,2020,BO-L9073,B,3.Substantial,Partially Unsatisfactory,LATAM,INE
Q1 2020,2020,BO-L9075,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9076,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9078,B,3.Substantial,Partially Satisfactory,LATAM,SCL
Q1 2020,2020,BO-L9079,B,2.Moderate,{Not Set},LATAM,SCL
Q1 2020,2020,BO-L9079B,B,2.Moderate,Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9080,A,4.High,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9082,B,3.Substantial,Satisfactory,LATAM,SCL
Q1 2020,2020,BO-L9087,B,2.Moderate,{Not Set},LATAM,INE
Q1 2020,2020,BO-L9095,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9096,C,2.Moderate,{Not Set},LATAM,CSD
Q1 2020,2020,BO-L9902,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9906,B,4.High,Unsatisfactory,LATAM,CSD
Q1 2020,2020,BO-L9909,B13,4.High,Unsatisfactory,LATAM,INE
Q1 2020,2020,BO-L9929,C,1.Low,{Not Set},LATAM,SCL
Q1 2020,2020,BO-L9979,B,2.Moderate,{Not Set},LATAM,CSD
Q1 2020,2020,BO-L9982,B,3.Substantial,Partially Satisfactory,LATAM,CSD
Q1 2020,2020,BO-L9984,B,2.Moderate,{Not Set},LATAM,INE
Q1 2020,2020,BO-L9986,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9988,B,3.Substantial,Partially Satisfactory,LATAM,CSD
Q1 2020,2020,BO-L9990,B,3.Substantial,{Not Set},LATAM,INE
Q1 2020,2020,BO-L9992,B,3.Substantial,{Not Set},LATAM,INE
Q1 2020,2020,BO-L9993,A,4.High,Unsatisfactory,LATAM,CSD
Q1 2020,2020,BO-L9994,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9997,B,2.Moderate,{Not Set},LATAM,INE
Q1 2020,2020,BO-L9998,B,3.Substantial,Partially Satisfactory,LATAM,INE
Q1 2020,2020,BO-L9998B,B,3.Substantial,Partially Satisfactory,LATAM,SCL
Q1 2020,2020,BO-L9999,B13,3.Substantial,{Not Set},LATAM,IFD
Q1 2020,2020,BO-L9999B,B,3.Substantial,Satisfactory,LATAM,INE
