,Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR,Sector_1,Region_1,Operation_Type,Stage,Approval
0,Q1 2020,2020,BA-G9002,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Investment Grants,Operation in Disbursing,07/29/15
1,Q1 2020,2020,BA-L9025,A,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,02/03/2014
2,Q1 2020,2020,BA-L9032,C,1.Low,{Not Set},CAR,SCL,SCL,CAR,Loan Operation,Operation in Disbursing,11/28/12
3,Q1 2020,2020,BA-L9033,B,3.Substantial,{Not Set},CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,11/02/2011
4,Q1 2020,2020,BA-L9034,B13,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,01/11/2011
5,Q1 2020,2020,BA-L9035,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,07/07/2010
6,Q1 2020,2020,BA-L9043,B,2.Moderate,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,07/23/14
7,Q1 2020,2020,BA-L9046,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Fully Disbursed,11/30/11
8,Q1 2020,2020,BA-L9048,B13,2.Moderate,{Not Set},CAR,CSD,CSD,CAR,Loan Operation,Operation Closed,02/01/2012
9,Q1 2020,2020,BA-L9092,B,2.Moderate,Satisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,10/30/13
10,Q1 2020,2020,BA-L9094,B,2.Moderate,{Not Set},CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,03/27/13
11,Q1 2020,2020,BA-L9096,C,1.Low,{Not Set},CAR,SCL,SCL,CAR,Loan Operation,Operation Closed,04/10/2013
12,Q1 2020,2020,BA-X9003,A,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Investment Grants,Operation in Disbursing,11/26/12
13,Q1 2020,2020,BH-L9027,B13,2.Moderate,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation Closed,07/16/14
14,Q1 2020,2020,BH-L9033,C,2.Moderate,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,11/13/13
15,Q1 2020,2020,BH-L9035,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,05/14/14
16,Q1 2020,2020,BH-L9037,C,2.Moderate,{Not Set},CAR,SCL,SCL,CAR,Loan Operation,Operation in Disbursing,09/12/2013
17,Q1 2020,2020,BH-L9043,B,2.Moderate,{Not Set},CAR,CSD,CSD,CAR,Loan Operation,Operation in Disbursing,07/23/14
18,Q1 2020,2020,BH-L9045,C,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,04/23/15
19,Q1 2020,2020,BH-L9046,B13,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,05/14/15
20,Q1 2020,2020,BH-L9048,B,3.Substantial,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,05/07/2015
21,Q1 2020,2020,BH-L9049,B13,1.Low,{Not Set},CAR,IFD,IFD,CAR,Loan Operation,Operation in Disbursing,06/25/15
22,Q1 2020,2020,BH-L9049B,B,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,09/09/2016
23,Q1 2020,2020,BH-L9096,C,1.Low,{Not Set},CAR,INT,INT,CAR,Loan Operation,Operation Closed,12/05/2016
24,Q1 2020,2020,BL-G9002,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation Closed,10/26/16
25,Q1 2020,2020,BL-G9003,C,1.Low,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation in Disbursing,09/28/16
26,Q1 2020,2020,BL-G9004,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Investment Grants,Operation in Disbursing,12/05/2016
27,Q1 2020,2020,BL-L9020,B,2.Moderate,{Not Set},AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,12/12/2016
28,Q1 2020,2020,BL-L9028,B,3.Substantial,Satisfactory,AAN,CSD,CSD,AAN,Loan Operation,Operation in Disbursing,04/07/2017
29,Q1 2020,2020,BL-L9029,B,3.Substantial,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,07/12/2017
30,Q1 2020,2020,BL-L9029B,B,2.Moderate,Partially Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,06/29/17
31,Q1 2020,2020,BL-L9030,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,08/29/17
32,Q1 2020,2020,BL-L9039,C,1.Low,{Not Set},AAN,IFD,IFD,AAN,Loan Operation,Operation in Disbursing,08/02/2017
33,Q1 2020,2020,BL-L9099,B,3.Substantial,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,12/08/2017
34,Q1 2020,2020,BO-G9004,A,4.High,Satisfactory,LATAM,CSD,CSD,LATAM,Investment Grants,Operation in Disbursing,12/01/2017
35,Q1 2020,2020,BO-L9063,C,1.Low,{Not Set},LATAM,IFD,IFD,LATAM,Loan Operation,Operation in Disbursing,07/26/18
36,Q1 2020,2020,BO-L9067,B,3.Substantial,Partially Satisfactory,LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,03/12/2018
37,Q1 2020,2020,BO-L9073,B,3.Substantial,Partially Unsatisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,02/28/19
38,Q1 2020,2020,BO-L9075,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,07/02/2019
39,Q1 2020,2020,BO-L9076,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,06/12/2019
40,Q1 2020,2020,BO-L9078,B,3.Substantial,Partially Satisfactory,LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,05/03/2019
41,Q1 2020,2020,BO-L9079,B,2.Moderate,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,11/02/2018
42,Q1 2020,2020,BO-L9079B,B,2.Moderate,Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/01/2018
43,Q1 2020,2020,BO-L9080,A,4.High,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,06/14/19
44,Q1 2020,2020,BO-L9082,B,3.Substantial,Satisfactory,LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,07/31/19
45,Q1 2020,2020,BO-L9087,B,2.Moderate,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,07/31/19
46,Q1 2020,2020,BO-L9095,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,05/18/20
47,Q1 2020,2020,BO-L9096,C,2.Moderate,{Not Set},LATAM,CSD,CSD,LATAM,Loan Operation,Fully Disbursed,07/29/20
48,Q1 2020,2020,BO-L9902,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/07/2016
49,Q1 2020,2020,BO-L9906,B,4.High,Unsatisfactory,LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,12/08/2010
50,Q1 2020,2020,BO-L9909,B13,4.High,Unsatisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,06/25/12
51,Q1 2020,2020,BO-L9929,C,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Loan Operation,Operation in Disbursing,09/21/15
52,Q1 2020,2020,BO-L9979,B,2.Moderate,{Not Set},LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,10/25/17
53,Q1 2020,2020,BO-L9982,B,3.Substantial,Partially Satisfactory,LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,12/15/14
54,Q1 2020,2020,BO-L9984,B,2.Moderate,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/18/15
55,Q1 2020,2020,BO-L9986,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,09/20/19
56,Q1 2020,2020,BO-L9988,B,3.Substantial,Partially Satisfactory,LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,11/27/19
57,Q1 2020,2020,BO-L9990,B,3.Substantial,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/02/2020
58,Q1 2020,2020,BO-L9992,B,3.Substantial,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,12/16/20
59,Q1 2020,2020,BO-L9993,A,4.High,Unsatisfactory,LATAM,CSD,CSD,LATAM,Loan Operation,Operation in Disbursing,06/25/12
60,Q1 2020,2020,BO-L9994,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,07/07/2015
61,Q1 2020,2020,BO-L9997,B,2.Moderate,{Not Set},LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/19/14
62,Q1 2020,2020,BO-L9998,B,3.Substantial,Partially Satisfactory,LATAM,INE,INE,LATAM,Loan Operation,Operation in Disbursing,11/02/2016
