,index,id_project_x,Quarter2_y,0.Not Rated,1.Low,2.Moderate,3.Substantial,4.High,Quarter,year,id_project,category,ESRR,SPR,REGION,SECTOR,Sector_1,Region_1,Operation_Type,Stage,Approval,Quarter2
14,9,EC-J0006,Q1,,1,,,,Q1 2021,2021,EC-J0006,,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Grant Financing Product,Operation in Disbursing,01/15/20,Q1
15,10,EC-J0006,Q4,0,,,,,Q4 2020,2020,EC-J0006,,1.Low,{Not Set},LATAM,SCL,SCL,LATAM,Grant Financing Product,Operation in Disbursing,01/15/20,Q4
30,21,HO-L9986,Q1,,,,,4,Q1 2020,2020,HO-L9986,B,4.High,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,02/08/2017,Q1
31,21,HO-L9986,Q1,,,,,4,Q1 2021,2021,HO-L9986,,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,02/08/2017,Q1
32,22,HO-L9986,Q4,,,,3,,Q4 2018,2018,HO-L9986,B,4.High,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,02/08/2017,Q4
33,22,HO-L9986,Q4,,,,3,,Q4 2019,2019,HO-L9986,B,4.High,{Not Set},AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,02/08/2017,Q4
34,22,HO-L9986,Q4,,,,3,,Q4 2020,2020,HO-L9986,B,3.Substantial,Satisfactory,AAN,INE,INE,AAN,Loan Operation,Operation in Disbursing,02/08/2017,Q4
35,23,HO-L9988,Q1,,,,3,,Q1 2020,2020,HO-L9988,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/08/2017,Q1
36,23,HO-L9988,Q1,,,,3,,Q1 2021,2021,HO-L9988,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/08/2017,Q1
37,24,HO-L9988,Q3,,,2,,,Q3 2020,2020,HO-L9988,C,2.Moderate,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/08/2017,Q3
58,39,PN-L9072,Q1,,,,,4,Q1 2020,2020,PN-L9072,B,3.Substantial,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/29/17,Q1
59,39,PN-L9072,Q1,,,,,4,Q1 2021,2021,PN-L9072,B,4.High,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/29/17,Q1
60,40,PN-L9072,Q4,,,,3,,Q4 2018,2018,PN-L9072,B,3.Substantial,{Not Set},AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/29/17,Q4
61,40,PN-L9072,Q4,,,,3,,Q4 2019,2019,PN-L9072,B,3.Substantial,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/29/17,Q4
62,40,PN-L9072,Q4,,,,3,,Q4 2020,2020,PN-L9072,B,4.High,Partially Satisfactory,AAN,SCL,SCL,AAN,Loan Operation,Operation in Disbursing,11/29/17,Q4
86,56,RG-L9996,Q2,,,,,4,Q2 2020,2020,RG-L9996,A,4.High,Satisfactory,NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/12/2019,Q2
87,57,RG-L9996,Q4,,1,,,,Q4 2018,2018,RG-L9996,A,4.High,{Not Set},NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/12/2019,Q4
88,57,RG-L9996,Q4,,1,,,,Q4 2019,2019,RG-L9996,A,4.High,Satisfactory,NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/12/2019,Q4
89,57,RG-L9996,Q4,,1,,,,Q4 2020,2020,RG-L9996,A,1.Low,Satisfactory,NAC,INE,INE,NAC,Loan Operation,Operation in Disbursing,12/12/2019,Q4
90,58,SU-L9055,Q1,,,,,4,Q1 2020,2020,SU-L9055,B,4.High,{Not Set},CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/30/18,Q1
91,58,SU-L9055,Q1,,,,,4,Q1 2021,2021,SU-L9055,B,3.Substantial,Satisfactory,CAR,INE,INE,CAR,Loan Operation,Operation in Disbursing,11/30/18,Q1
